"Repo","Abbreviation","WorkshopId","RelativePath","Status","LocalMiB","SteamMiB"
"Culture-and-Faith-Granularity","CFG","3206891770","descriptor.mod","SizeChanged","0,000208","0,000209"
"Culture-and-Faith-Granularity","CFG","3206891770","events/activities/hold_court_activity/hold_court_events_general.txt","SizeChanged","0,590282","0,591123"
"Culture-and-Faith-Granularity","CFG","3206891770","events/activities/tournaments/contest_events.txt","SizeChanged","0,341377","0,341339"
"Culture-and-Faith-Granularity","CFG","3206891770","events/culture_events/culture_emergence_events.txt","SizeChanged","0,035062","0,034948"
"Culture-and-Faith-Granularity","CFG","3206891770","events/decisions_events/ce1_decision_events.txt","SizeChanged","0,016505","0,018906"
"Culture-and-Faith-Granularity","CFG","3206891770","events/decisions_events/iberia_north_africa_events.txt","SizeChanged","0,083772","0,08395"
"Culture-and-Faith-Granularity","CFG","3206891770","events/decisions_events/roman_restoration_events.txt","SizeChanged","0,071934","0,072098"
"Culture-and-Faith-Granularity","CFG","3206891770","events/dlc/bp2/bp2_yearly_events_6.txt","SizeChanged","0,314437","0,317098"
"Culture-and-Faith-Granularity","CFG","3206891770","events/dlc/ce1/epidemic_events.txt","SizeChanged","0,197186","0,197554"
"Culture-and-Faith-Granularity","CFG","3206891770","events/dlc/fp3/fp3_misc_decision_events.txt","ContentChanged","0,072172","0,072172"
"Culture-and-Faith-Granularity","CFG","3206891770","events/dlc/fp3/fp3_misc_decision_events.txt.bak","OnlySteam",,"0,072176"
"Culture-and-Faith-Granularity","CFG","3206891770","events/dlc/fp3/fp3_yearly_events_ola_batch_1.txt","SizeChanged","0,089335","0,089535"
"Culture-and-Faith-Granularity","CFG","3206891770","events/dlc/fp3/fp3_yearly_events_ola_batch_1.txt.bak","OnlySteam",,"0,089335"
"Culture-and-Faith-Granularity","CFG","3206891770","events/global_culture_events.txt","SizeChanged","0,028163","0,032088"
"Culture-and-Faith-Granularity","CFG","3206891770","events/global_religion_events.txt","SizeChanged","0,029477","0,029655"
"Culture-and-Faith-Granularity","CFG","3206891770","events/lifestyles/governance_lifestyle/stewardship_domain_events.txt","SizeChanged","0,234272","0,234274"
"Culture-and-Faith-Granularity","CFG","3206891770","events/religion_events/false_conversion_events.txt","SizeChanged","0,039233","0,039225"
"Culture-and-Faith-Granularity","CFG","3206891770","events/story_cycles/story_cycle_almohad_events.txt","SizeChanged","0,007936","0,008094"
"Culture-and-Faith-Granularity","CFG","3206891770","gui/additional_windows/province/kei_cafg_province_additional_windows_types.gui","ContentChanged","0,019845","0,019845"
"Culture-and-Faith-Granularity","CFG","3206891770","gui/kei_cafg_map_modes_buttons.gui","SizeChanged","0,003541","0,003547"
"Culture-and-Faith-Granularity","CFG","3206891770","gui/window_county_view.gui","SizeChanged","0,09806","0,100601"
"Demand-Tribute","DT","3473488611",".gitattributes","OnlySteam",,"6,3E-05"
"Demand-Tribute","DT","3473488611",".gitignore","OnlySteam",,"2,8E-05"
"Demand-Tribute","DT","3473488611","README.md","OnlySteam",,"8,2E-05"
"Turkic-World-Expanded","TWE","3668769244","common/bookmark_portraits/bookmark_laamps_suleyman_qutalmishoglu.txt","SizeChanged","0,009701","0,010486"
"Turkic-World-Expanded","TWE","3668769244","common/bookmark_portraits/bookmark_nomads_late_kirghiz.txt","OnlySteam",,"0,010421"
"Turkic-World-Expanded","TWE","3668769244","common/culture/cultures/00_turkic.txt","SizeChanged","0,03212","0,032992"
"Turkic-World-Expanded","TWE","3668769244","common/culture/traditions/00_turkic_traditions.txt","OnlyLocal","0,002397",
"Turkic-World-Expanded","TWE","3668769244","common/dna_data/00_mpo_dna.txt","OnlySteam",,"0,19934"
"Turkic-World-Expanded","TWE","3668769244","common/dna_data/00_seljuks_dna.txt","SizeChanged","0,035154","0,026004"
"Turkic-World-Expanded","TWE","3668769244","common/dna_data/08_dna_seljuk.txt","OnlySteam",,"0,082392"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/00_epe_ethnicities_base_turkish.txt","OnlyLocal","0,093234",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/cumans.txt","OnlySteam",,"0,16477"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/kipchaks.txt","OnlySteam",,"0,124624"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/oghuz.txt","OnlySteam",,"0,158212"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_bashkir_1.txt","OnlySteam",,"0,021093"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_bashkir_2.txt","OnlySteam",,"0,021109"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_cuman_1.txt","OnlyLocal","0,023868",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_cuman_2.txt","OnlyLocal","0,023952",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_cuman_3.txt","OnlyLocal","0,024735",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_cuman_4.txt","OnlyLocal","0,024565",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_cuman_5.txt","OnlyLocal","0,024471",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_cuman_6.txt","OnlyLocal","0,024595",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_cuman_8.txt","OnlyLocal","0,023639",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_east_asian_1.txt","OnlySteam",,"0,022812"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_east_asian_2.txt","OnlySteam",,"0,022782"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_east_asian_3.txt","OnlySteam",,"0,021674"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_kipchak_1.txt","OnlyLocal","0,024159",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_kipchak_2.txt","OnlyLocal","0,024207",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_kipchak_4.txt","OnlyLocal","0,02324",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_kirghiz_1.txt","SizeChanged","0,023358","0,020674"
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_turkmen_02.txt","OnlyLocal","0,023358",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_turkmen_03.txt","OnlyLocal","0,023241",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_turkmen_04.txt","OnlyLocal","0,02319",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_turkmen_05.txt","OnlyLocal","0,023188",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_west_asian_1.txt","OnlyLocal","0,023312",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/turkic_west_asian_2.txt","OnlyLocal","0,023367",
"Turkic-World-Expanded","TWE","3668769244","common/ethnicities/west_asian_turk.txt","OnlySteam",,"0,158217"
"Turkic-World-Expanded","TWE","3668769244","common/game_concepts/turkic_concepts.txt","OnlyLocal","0,000134",
"Turkic-World-Expanded","TWE","3668769244","common/on_action/on_marriage.txt","OnlyLocal","0,001787",
"Turkic-World-Expanded","TWE","3668769244","common/opinion_modifiers/00_turkic_marriage_opinions.txt","OnlyLocal","0,000144",
"Turkic-World-Expanded","TWE","3668769244","descriptor.mod","ContentChanged","0,00015","0,00015"
"Turkic-World-Expanded","TWE","3668769244","localization/english/concepts/turkic_concepts.yml","OnlyLocal","0,000393",
"Turkic-World-Expanded","TWE","3668769244","localization/english/culture/traditions/turkic_traditions_l_english.yml","OnlyLocal","0,000516",
"Turkic-World-Expanded","TWE","3668769244","localization/english/gui/accurate_turks_ruler_designer_l_english.yml","SizeChanged","0,000662","0,00121"
"Turkic-World-Expanded","TWE","3668769244","localization/english/my_opinion_modifiers_l_english.yml","OnlyLocal","0,000223",
"Turkic-World-Expanded","TWE","3668769244","localization/english/replace/culture/turkic_cultures_l_english.yml","OnlyLocal","0,000234",
"Turkic-World-Expanded","TWE","3668769244","localization/english/replace/culture/turkicwe_l_english.yml","OnlySteam",,"0,00022"
"Turkic-World-Expanded","TWE","3668769244","thumbnail.jpg","OnlySteam",,"0,244102"
"Turkic-World-Expanded","TWE","3668769244","thumbnail.png","OnlyLocal","0,429202",
